k,T,iv
-0.10536051565782628,0.0821917808219178,0.8204310278102476
-0.10536051565782628,0.0821917808219178,0.8204310278102476
-0.10536051565782628,0.0821917808219178,0.8204310278102476
-0.05129329438755058,0.0821917808219178,0.6278727695726607
-0.05129329438755058,0.0821917808219178,0.6278727695726607
-0.05129329438755058,0.0821917808219178,0.6278727695726607
0.0,0.0821917808219178,0.420107665081377
0.0,0.0821917808219178,0.420107665081377
0.0,0.0821917808219178,0.420107665081377
0.0,0.1643835616438356,0.3354475529082855
0.0,0.1643835616438356,0.3354475529082855
0.0,0.1643835616438356,0.3354475529082855
0.04879016416943205,0.1643835616438356,0.47046902335651225
0.04879016416943205,0.1643835616438356,0.47046902335651225
0.04879016416943205,0.1643835616438356,0.47046902335651225
0.09531017980432493,0.1643835616438356,0.5802910547612166
0.09531017980432493,0.1643835616438356,0.5802910547612166
0.09531017980432493,0.1643835616438356,0.5802910547612166
